learning_path,link
Generative AI,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/ddce5f12-6ae8-4f1c-a3fe-1d4d35ae804d
Full Path Finisher,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/73f9342c-49c7-49d2-a090-35052aeca58d
Data Storyteller,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/a9398ef7-0e88-4ff6-a94f-ff6f713ba8aa
Data Modeller,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/0b612662-ce13-473b-8786-386ecf3e7a23
Data Science Jump Starter,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/7cd17cbe-8777-4a8a-a438-d2ba91dfa1bc
Analytics Project Runner,https://cchellenic.csod.com/ui/lms-learning-details/app/curriculum/17061085-8e18-434b-91fd-6bf56aaa1dc8
